Date,Average Days on Market,Average Percent of Last List Price,Average Percent of Last Original Price,Average Price Per Square Foot,Average Sales Price,Closed Sales,Homes for Sale,Median Days on Market,Median Percent of Last List Price,Median Percent of Last Original Price,Median Price Per Square Foot,Median Sales Price,Months Supply of Inventory (Closed),Months Supply of Inventory (Pending),New Listings,Pending Sales
2006-01-01,0.30379746835443033,0.3770491803278686,0.4620253164556969,0.16864608076009502,0.048207293234491466,0.375,0.28428093645484953,0.28125,0.5555555555555554,0.5847457627118642,0.1435406698564593,0.11111111111111116,0.11607142857142858,0.12037037037037036,0.3054545454545455,0.36000000000000004
2006-02-01,0.31645569620253167,0.35245901639344357,0.47468354430379733,0.16389548693586697,0.021332617208236315,0.3529411764705882,0.274247491638796,0.265625,0.5555555555555554,0.6694915254237293,0.13875598086124397,0.07581699346405235,0.11607142857142858,0.12037037037037036,0.36727272727272725,0.40750000000000003
2006-03-01,0.31645569620253167,0.3852459016393448,0.5126582278481013,0.18052256532066513,0.057762567058661896,0.4338235294117647,0.2959866220735786,0.203125,0.5555555555555554,0.6694915254237293,0.13636363636363635,0.08496732026143794,0.125,0.1296296296296296,0.570909090909091,0.56
2006-04-01,0.30379746835443033,0.4016393442622954,0.5253164556962027,0.1781472684085511,0.06617370613473561,0.5514705882352942,0.29431438127090304,0.1875,0.5555555555555554,0.6694915254237293,0.1435406698564593,0.11176470588235299,0.13392857142857142,0.1388888888888889,0.6436363636363636,0.7275
2006-05-01,0.2784810126582279,0.43442622950819665,0.5506329113924053,0.20427553444180524,0.09015307173949705,0.6421568627450981,0.3060200668896321,0.171875,0.5555555555555554,0.6694915254237293,0.19377990430622005,0.1307189542483661,0.14285714285714285,0.1388888888888889,0.7327272727272729,0.7725
2006-06-01,0.24050632911392403,0.40983606557376984,0.537974683544304,0.20902612826603328,0.08304219933675161,0.7303921568627451,0.32441471571906355,0.1875,0.5555555555555554,0.6694915254237293,0.20574162679425834,0.12810457516339868,0.1517857142857143,0.14814814814814814,0.7781818181818183,0.8050000000000002
2006-07-01,0.21518987341772153,0.42622950819672045,0.5632911392405067,0.21852731591448926,0.08428126229538913,0.7769607843137254,0.37123745819397996,0.1875,0.5555555555555554,0.6694915254237293,0.23444976076555013,0.12745098039215685,0.16964285714285712,0.17592592592592593,0.8127272727272727,0.7575000000000001
2006-08-01,0.2278481012658228,0.42622950819672045,0.5506329113924053,0.21852731591448926,0.07886036185134992,0.8406862745098038,0.41471571906354515,0.1875,0.5555555555555554,0.6694915254237293,0.21770334928229662,0.1496732026143791,0.1875,0.19444444444444442,0.821818181818182,0.7375
2006-09-01,0.24050632911392403,0.42622950819672045,0.5506329113924053,0.2327790973871734,0.06562287270251876,0.75,0.4749163879598662,0.1875,0.5555555555555554,0.6694915254237293,0.2440191387559808,0.12745098039215685,0.2232142857142857,0.2314814814814815,0.8963636363636365,0.7025000000000001
2006-10-01,0.25316455696202533,0.4016393442622954,0.5126582278481013,0.23990498812351546,0.07854934705628869,0.6985294117647058,0.5050167224080268,0.21875,0.5555555555555554,0.6694915254237293,0.23923444976076547,0.1519607843137255,0.2410714285714286,0.24074074074074076,0.8145454545454547,0.6575
2006-11-01,0.3291139240506329,0.360655737704918,0.4430379746835449,0.24703087885985753,0.09365917025249659,0.5857843137254902,0.5250836120401338,0.265625,0.5555555555555554,0.5593220338983054,0.2535885167464115,0.1502941176470589,0.25,0.25925925925925924,0.7290909090909092,0.5900000000000001
2006-12-01,0.3670886075949368,0.35245901639344357,0.4240506329113929,0.2541567695961995,0.09354050998932062,0.5661764705882353,0.4615384615384615,0.3125,0.518518518518519,0.5338983050847466,0.2607655502392344,0.15130718954248368,0.2142857142857143,0.2222222222222222,0.3836363636363636,0.47500000000000003
2007-01-01,0.44303797468354433,0.3360655737704912,0.4177215189873422,0.2660332541567696,0.07312844661224949,0.4362745098039216,0.4280936454849498,0.453125,0.4938271604938276,0.5254237288135597,0.3038277511961722,0.1307189542483661,0.20535714285714285,0.21296296296296297,0.3709090909090909,0.37500000000000006
2007-02-01,0.4683544303797469,0.3442622950819674,0.4620253164556969,0.28503562945368166,0.042034461438537174,0.375,0.4096989966555184,0.46875,0.5555555555555554,0.5762711864406791,0.3038277511961722,0.11502614379084974,0.1875,0.19444444444444442,0.4345454545454545,0.43250000000000005
2007-03-01,0.49367088607594944,0.4016393442622954,0.518987341772152,0.2779097387173397,0.072988552407242,0.44362745098039214,0.4531772575250836,0.359375,0.5555555555555554,0.6694915254237293,0.2727272727272727,0.13888888888888895,0.2142857142857143,0.2222222222222222,0.7127272727272729,0.595
2007-04-01,0.4303797468354431,0.43442622950819665,0.5316455696202533,0.2755344418052257,0.12665546680323003,0.625,0.5066889632107023,0.265625,0.5555555555555554,0.6694915254237293,0.26794258373205737,0.15326797385620916,0.23214285714285715,0.24074074074074076,0.801818181818182,0.7124999999999999
2007-05-01,0.3924050632911392,0.44262295081967107,0.5253164556962027,0.2684085510688836,0.1279120165374935,0.7696078431372548,0.5535117056856187,0.265625,0.5555555555555554,0.6694915254237293,0.26555023923444965,0.15620915032679739,0.25,0.2685185185185185,0.8381818181818184,0.7725
2007-06-01,0.3670886075949368,0.4016393442622954,0.5,0.2802850356294537,0.11940969641708465,0.7916666666666667,0.6471571906354514,0.296875,0.5555555555555554,0.6694915254237293,0.26794258373205737,0.12418300653594772,0.29464285714285715,0.3148148148148148,1.0,0.7150000000000001
