Metric:,Median Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
November 2019,609925,650000,815000,569000,
December 2019,615000,630000,820000,572000,
January 2020,600000,605000,760375,581000,
February 2020,623000,590000,710000,580975,
March 2020,650000,625000,700000,601725,
April 2020,667475,653500,700000,613313,
May 2020,664900,680000,769000,627000,
June 2020,660000,676000,838150,628500,
July 2020,655000,671500,826000,630000,
August 2020,665000,681000,825000,650000,
September 2020,665000,700000,825000,652500,
October 2020,669000,705000,847500,655000,
November 2020,660000,690000,840000,650000,
December 2020,650000,671995,830000,650000,
January 2021,640750,672125,815000,650000,
February 2021,642250,693250,790000,629250,
March 2021,650000,715000,775000,620000,
April 2021,675000,719975,811000,635000,
May 2021,711000,730000,849950,669950,
June 2021,727250,729900,850000,699995,
July 2021,730000,775500,849000,700000,
August 2021,726000,760000,822500,700000,
September 2021,730000,799000,825000,668000,
October 2021,725000,768750,829000,670000,
November 2021,695000,750000,835000,658500,
December 2021,690000,740000,823450,682500,
January 2022,674950,710000,815000,700000,
February 2022,683950,737475,815000,712500,
March 2022,749950,800000,828900,717495,
April 2022,820000,828500,822500,750000,
May 2022,850000,850450,850000,819333,
June 2022,827000,857000,816000,830000,
July 2022,820000,842500,868000,794000,
August 2022,800000,825000,860000,756000,
September 2022,795000,760000,875000,715000,
October 2022,780000,749000,875000,725000,
November 2022,765000,739500,872000,710000,
December 2022,760000,732000,875000,697475,
January 2023,750000,717000,850000,652500,
February 2023,700000,647000,840000,665300,
March 2023,689500,709950,825000,670000,
April 2023,693844,710000,790000,670000,
May 2023,739000,739500,770744,662500,
June 2023,767475,750000,798500,677500,
July 2023,778800,775000,799950,700000,
August 2023,764950,777495,847975,699950,
September 2023,752500,735000,840000,665000,
October 2023,746750,747970,899875,639950,
November 2023,750000,750000,917500,644950,
December 2023,748750,755000,830000,647475,
January 2024,735500,725000,825000,650000,
February 2024,750000,728450,805000,660000,
March 2024,762500,731950,868250,663000,
April 2024,800000,767975,875000,700000,
May 2024,822480,799950,875000,702500,
June 2024,835000,825000,930000,742500,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


