Metric:,Median Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
September 2019,844975,625000,729500,716000,
October 2019,860000,642000,726940,747475,
November 2019,865000,603500,725000,750000,
December 2019,865000,637500,710000,750000,
January 2020,850000,619000,712500,732475,
February 2020,845000,649900,710000,750000,
March 2020,825000,649950,745000,773000,
April 2020,838750,675205,750000,799000,
May 2020,905000,675205,759950,812500,
June 2020,939000,677500,745000,808001,
July 2020,935000,676000,760000,829950,
August 2020,918000,650000,776000,835650,
September 2020,911000,640000,780000,829000,
October 2020,892000,629950,798500,814110,
November 2020,899950,635000,799999,800000,
December 2020,899475,619950,800000,802000,
January 2021,872750,647907,792500,799000,
February 2021,880000,646454,775000,795000,
March 2021,871000,632748,797000,800000,
April 2021,950000,630000,813250,835000,
May 2021,967000,635000,839950,896000,
June 2021,995000,648000,855050,910000,
July 2021,985000,615000,850000,915000,
August 2021,975000,643000,849500,895000,
September 2021,895000,643000,825000,880000,
October 2021,850000,666998,835000,875000,
November 2021,857000,652500,830000,874500,
December 2021,929500,670000,825000,849950,
January 2022,852450,690000,800000,811000,
February 2022,770000,690000,800000,814000,
March 2022,782475,666500,900000,874950,
April 2022,887000,665000,950000,935000,
May 2022,977500,670000,955000,985000,
June 2022,1045000,677000,950000,990250,
July 2022,1100000,666250,925000,989950,
August 2022,1035000,621000,899950,945000,
September 2022,999000,616500,875000,889950,
October 2022,950000,610000,877500,880000,
November 2022,1023500,559500,885000,888000,
December 2022,1015000,554888,852500,900000,
January 2023,970000,532000,802500,864475,
February 2023,911250,590000,795000,864000,
March 2023,925000,585000,800000,824500,
April 2023,920551,585000,825000,875000,
May 2023,965000,585000,850000,907625,
June 2023,967500,590000,879000,930000,
July 2023,1055000,591500,886500,885000,
August 2023,1047500,582500,865000,870000,
September 2023,962500,585000,850000,871000,
October 2023,935000,622500,833450,920125,
November 2023,935000,595000,853000,917625,
December 2023,997475,655500,839500,906680,
January 2024,979000,673500,835000,840000,
February 2024,959000,726500,835000,905000,
March 2024,984500,682000,850000,945500,
April 2024,1107500,689000,863950,1005000,
May 2024,1150000,643000,881250,960150,
June 2024,1049000,650000,882500,950000,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


